,SKU_x,Produto,EAN,EH 1º Nível_x,Preço (R$),EH 3º Nível_x,EH 2º Nível_x,Estoque_x,Ruptura (R$),SKU_y,EH 1º Nível_y,EH 2º Nível_y,EH 3º Nível_y,Estoque_y
0,38570,CHOC TWIX 80G,7896423451191,MERCEARIA,6.59,BOMBONIERE,SECA DOCE,71.0,467.89,38570,MERCEARIA,SECA DOCE,BOMBONIERE,142.0
1,100135,ACHOC NESTLE 730G NESCAU EMB ECON,7891000338162,MERCEARIA,18.9,DERIVADO LEITE ACHOC,SECA DOCE,22.0,415.8,100135,MERCEARIA,SECA DOCE,DERIVADO LEITE ACHOC,22.0
2,106343,ALMONDEGAS BOV MONTANA 500G C/20 CONG,7899638343831,PERECIVEIS,22.9,CONGELADOS,P.A.S.,14.0,320.6,106343,PERECIVEIS,P.A.S.,CONGELADOS,35.0
3,15360,SUCO PETRY 300ML INT LARAN,7896802200051,MERCEARIA,5.99,NAO ALCOOLICOS,LIQUIDA,47.0,281.53,15360,MERCEARIA,LIQUIDA,NAO ALCOOLICOS,50.0
4,106935,MINI DOG LIZZI KG TRAD,13406,PERECIVEIS,54.9,CONFEITARIA FRESC INDUST,PADARIA,5.0,274.5,106935,PERECIVEIS,PADARIA,CONFEITARIA FRESC INDUST,4.0
5,4900,LEITE COND MOCA 395G,7891000100103,MERCEARIA,11.99,DERIVADO LEITE ACHOC,SECA DOCE,22.0,263.78,4900,MERCEARIA,SECA DOCE,DERIVADO LEITE ACHOC,22.0
6,93285,PAO SABOR FRANCE 410G BAGUET CEREAL PRE ASSADO CON,7896412804038,PERECIVEIS,14.59,CONGELADOS,P.A.S.,17.0,248.03,93285,PERECIVEIS,P.A.S.,CONGELADOS,13.0
7,46499,WHISKY JACK DANIELS 375ML,82184081792,MERCEARIA,58.9,ALCOOLICOS,LIQUIDA,4.0,235.6,46499,MERCEARIA,LIQUIDA,ALCOOLICOS,5.0
8,1392,POMADA NEEZ 40G FINALIZ SEMI LINO,7898378620356,MERCEARIA,17.99,CUIDADO COM CABELO,PERFUMARIA,13.0,233.87,1392,MERCEARIA,PERFUMARIA,CUIDADO COM CABELO,1.0
9,41137,"SORVETE NESTLE 1,5L SENSACAO",7891000106921,PERECIVEIS,26.9,CONGELADOS,P.A.S.,6.0,161.4,41137,PERECIVEIS,P.A.S.,CONGELADOS,5.0
10,71938,POMADA HEDERA 150G MODEL BARBA/BIGODE,7898556125475,MERCEARIA,25.99,CUIDADO COM ROSTO,PERFUMARIA,6.0,155.94,71938,MERCEARIA,PERFUMARIA,CUIDADO COM ROSTO,1.0
11,94331,CHOC NESTLE 29G COELHO KITKAT,7891000301609,MERCEARIA,5.49,SAZONAIS,SECA DOCE,24.0,131.76,94331,MERCEARIA,SECA DOCE,SAZONAIS,15.0
12,91662,QUEIJO RAL PRESIDENT 50G PARM,7896034680126,MERCEARIA,5.99,QUEIJO,SECA SALGADA,16.0,95.84,91662,MERCEARIA,SECA SALGADA,QUEIJO,16.0
13,66782,CHOC GAROTO 16G BATON LEITE,78912359,MERCEARIA,1.7,BOMBONIERE,SECA DOCE,52.0,88.4,66782,MERCEARIA,SECA DOCE,BOMBONIERE,62.0
14,101723,COQUETEL COROTE 500ML LIMAO,7896547501178,MERCEARIA,5.39,ALCOOLICOS,LIQUIDA,16.0,86.24,101723,MERCEARIA,LIQUIDA,ALCOOLICOS,16.0
15,34799,PENNE MAIS LEVE 300G 4QJOS,7898527430508,PERECIVEIS,13.69,CONGELADOS,P.A.S.,6.0,82.14,34799,PERECIVEIS,P.A.S.,CONGELADOS,5.0
16,105840,*PANETTONE GROSS 400G CHOC,7898961723730,MERCEARIA,10.29,SAZONAIS,SECA DOCE,7.0,72.03,105840,MERCEARIA,SECA DOCE,SAZONAIS,7.0
17,5475,BEBIDA LACTEA NESTLE 280ML NESTON,7891000067017,MERCEARIA,7.49,BEBIDAS LACTEAS,LIQUIDA,5.0,37.45,5475,MERCEARIA,LIQUIDA,BEBIDAS LACTEAS,12.0
18,105162,ESPUMANTE TORRE ORIA 750ML CAVA BRUT,8410744000013,MERCEARIA,32.9,VINHOS,LIQUIDA,1.0,32.9,105162,MERCEARIA,LIQUIDA,VINHOS,1.0
19,62338,*COUVE FLOR GRANO 300G CONG,7898268720142,PERECIVEIS,6.99,CONGELADOS,P.A.S.,4.0,27.96,62338,PERECIVEIS,P.A.S.,CONGELADOS,4.0
20,40009,*PIZZA GOURMET 380G S/LACT *CALABRESA,7898956732037,PERECIVEIS,25.9,CONGELADOS,P.A.S.,1.0,25.9,40009,PERECIVEIS,P.A.S.,CONGELADOS,1.0
