SKU;Produto;EAN;EH 1º Nível;Preço (R$);EH 3º Nível;EH 2º Nível;Estoque;Ruptura (R$)
98134;CARNE BOV BEST KG ANG PICAN RESF;12234;PERECIVEIS;137.90;BOVINO RESFRIADO;ACOUGUE;30.000;4137.00
70715;ONION RINGS EASYCHEF 1,100KG EMPANADOS;7896807410127;PERECIVEIS;31.90;CONGELADOS;P.A.S.;90.000;2871.00
89710;QUEIJO GRAN MESTRI KG GORG;10737;PERECIVEIS;86.90;QUEIJOS;P.A.S.;26.000;2259.40
101450;CARNE BOV LOV BEEF 400G MOIDA ATM PATIN RESF;7898292630844;PERECIVEIS;25.90;BOVINO RESFRIADO;ACOUGUE;60.000;1554.00
76535;QUEIJO RAL GRAN FORMAGGIO 50G FIAPO FINO;7897974400065;MERCEARIA;6.89;QUEIJO;SECA SALGADA;200.000;1378.00
101920;WHISKY THE SINGLETON 750ML ESC SING MALT DUFFT;5000281050171;MERCEARIA;219.90;ALCOOLICOS;LIQUIDA;6.000;1319.40
101449;CARNE BOV LOV BEEF 400G MOIDA ATM ACEM RESF;7898292630851;PERECIVEIS;19.99;BOVINO RESFRIADO;ACOUGUE;60.000;1199.40
40599;TEQUILA JOSE CUERVO 750ML GOLD;7501035010109;MERCEARIA;169.90;ALCOOLICOS;LIQUIDA;6.000;1019.40
103438;OVO FERRERO ROCHER 137,5G CAIXA PRESENTE;7898024398448;MERCEARIA;70.90;SAZONAIS;SECA DOCE;12.000;850.80
49901;PAPEL HIG MILI 30M C/4 F DUPLA DUAL NEUTRO;7896104995280;MERCEARIA;6.99;PAPEL HIGIENICO;PERFUMARIA;113.000;789.87
104055;CAPELETTI ZACCARON 400G FGO;7898650240791;PERECIVEIS;14.69;CONGELADOS;P.A.S.;51.000;749.19
88306;CHOC NEUGEBAUER 90G BIBS 55%CAC;7891330017416;MERCEARIA;4.79;BOMBONIERE;SECA DOCE;110.000;526.90
106691;SALG PRINGLES 104G BATATA ORIG;7896004006277;MERCEARIA;12.99;SALGADINHOS E APERITIVOS;SECA SALGADA;39.000;506.61
38570;CHOC TWIX 80G;7896423451191;MERCEARIA;6.59;BOMBONIERE;SECA DOCE;71.000;467.89
105971;BISC PANINE 200G PALMERITAS FOLHADA;192505325211;PERECIVEIS;11.59;PADARIA INDUSTRIALIZADOS;PADARIA;40.000;463.60
101849;FRALDA HUGGIES TRIPLA PROT M C/42;7896007551316;MERCEARIA;48.90;CUIDADOS INFANTIL;PERFUMARIA;9.000;440.10
100213;HAMBURGUER FAZENDA FUTURO 230G VEGETAL DEF;7898678661172;PERECIVEIS;23.90;CONGELADOS;P.A.S.;18.000;430.20
107033;CARNE BOV ZIMMER KG BIF ACEM ATM RESF;13432;PERECIVEIS;59.99;BOVINO RESFRIADO;ACOUGUE;7.000;419.93
100135;ACHOC NESTLE 730G NESCAU EMB ECON;7891000338162;MERCEARIA;18.90;DERIVADO LEITE ACHOC;SECA DOCE;22.000;415.80
103614;BAURU SALG LIZZI 150G MODA CASA;13037;PERECIVEIS;9.79;CONFEITARIA FRESC INDUST;PADARIA;42.000;411.18
40089;BATATA BEM 400G TRADICIONAL;7898921567046;PERECIVEIS;7.50;CONGELADOS;P.A.S.;54.000;405.00
40088;BATATA BEM 1,05KG TRADICIONAL;7898921567336;PERECIVEIS;16.79;CONGELADOS;P.A.S.;24.000;402.96
3176;CAFE BOM JESUS 500G VACUO TORRAD MOID TRAD;7896035733326;MERCEARIA;15.98;CAFE;SECA COMMODITIES;25.000;399.50
98444;PICOLE GAROTO 270G C/6 BATON;7899975802077;PERECIVEIS;31.90;CONGELADOS;P.A.S.;12.000;382.80
8784;SORVETE SORVEBOM 1L BRIG;7898038710489;PERECIVEIS;22.90;CONGELADOS;P.A.S.;16.000;366.40
80572;COLORACAO KOLESTON UN LOUR CINZ MED71;7891182016360;MERCEARIA;27.90;CUIDADO COM CABELO;PERFUMARIA;13.000;362.70
95978;CARNE VEGETAL FAZENDA FUTURO 270G MOIDA CONG;7898678660069;PERECIVEIS;23.90;CONGELADOS;P.A.S.;15.000;358.50
59545;DOCE LEITE LINEA 210G ORIG;7896001215467;MERCEARIA;28.90;CEREAIS E SAUDAVEIS;SECA DOCE;12.000;346.80
104769;CREME DENT COLGATE 90G C/4 MAX PROT MENTA;7509546679143;MERCEARIA;16.99;HIGIENE ORAL;PERFUMARIA;19.000;322.81
97524;SORVETE SORVEBOM 1,5L TRAD NAPOLITANO;7898038710991;PERECIVEIS;26.90;CONGELADOS;P.A.S.;12.000;322.80
92668;VINHO ALMADEN 750ML BRA VINT CHENIN MOSC;7896756804664;MERCEARIA;26.90;VINHOS;LIQUIDA;12.000;322.80
106343;ALMONDEGAS BOV MONTANA 500G C/20 CONG;7899638343831;PERECIVEIS;22.90;CONGELADOS;P.A.S.;14.000;320.60
5109;FORMULA INF NESTOGENO 2 800G;7891000062760;MERCEARIA;51.90;NUTRICAO INFANTIL;SECA DOCE;6.000;311.40
98470;TACA NADIR GIN TONIC;7891155056584;BAZAR;25.90;ARTES DA MESA;CASA;12.000;310.80
106544;EMPANADO FGO SEARA 110G LEVISSIMO RECH CONG;7894904276066;PERECIVEIS;6.09;CONGELADOS;P.A.S.;50.000;304.50
85677;POMADA DI HELLEN 150G MODEL HOMEM 3X1;7896363324272;MERCEARIA;22.90;CUIDADO COM ROSTO;PERFUMARIA;13.000;297.70
1898;BISC EQLIBRI 40G PANETINI PRES DEF;7892840226343;MERCEARIA;4.39;BISCOITOS;SECA DOCE;65.000;285.35
15360;SUCO PETRY 300ML INT LARAN;7896802200051;MERCEARIA;5.99;NAO ALCOOLICOS;LIQUIDA;47.000;281.53
107030;CARNE BOV ZIMMER KG BIF PATINHO ATM RESF;13429;PERECIVEIS;69.99;BOVINO RESFRIADO;ACOUGUE;4.000;279.96
