SKU;Produto;EH 1º Nível;EH 2º Nível;EH 3º Nível;Estoque
72877;CARNE BOV KG ANG DIANT RESF;PERECIVEIS;ACOUGUE;MANIPULADOS ACOUGUE;102.000
72857;CARNE BOV KG ANG COST MINGA RESF;PERECIVEIS;ACOUGUE;MANIPULADOS ACOUGUE;81.000
72856;CARNE BOV KG ANG ALCAT MIOLO RESF;PERECIVEIS;ACOUGUE;MANIPULADOS ACOUGUE;40.000
72846;CARNE BOV KG ANG COX MOL RESF;PERECIVEIS;ACOUGUE;MANIPULADOS ACOUGUE;51.000
65773;LING SUINA LANGUIRU KG RESF;PERECIVEIS;ACOUGUE;MANIPULADOS ACOUGUE;95.000
73034;CARNE BOV KG ANG TATU RESF;PERECIVEIS;ACOUGUE;MANIPULADOS ACOUGUE;46.000
96976;VINHO CHAC CHAC 750ML ARG SAUV BLANC;MERCEARIA;LIQUIDA;VINHOS;49.000
72855;CARNE BOV KG ANG COX FORA RESF;PERECIVEIS;ACOUGUE;MANIPULADOS ACOUGUE;37.000
72874;CARNE BOV KG ANG LOMBO CONT FIL RESF;PERECIVEIS;ACOUGUE;MANIPULADOS ACOUGUE;29.000
72840;CARNE BOV KG ANG PATINHO RESF;PERECIVEIS;ACOUGUE;MANIPULADOS ACOUGUE;28.000
73023;CARNE BOV KG ANG MOIDA DIANT 36% GD RESF;PERECIVEIS;ACOUGUE;MANIPULADOS ACOUGUE;34.000
278;CARNE BOV KG MOIDA TRAS 1º RESF;PERECIVEIS;ACOUGUE;MANIPULADOS ACOUGUE;24.000
38570;CHOC TWIX 80G;MERCEARIA;SECA DOCE;BOMBONIERE;142.000
99667;VINHO ORIGEN 750ML CHIL CHARD BCO SECO;MERCEARIA;LIQUIDA;VINHOS;31.000
1587;ISQUEIRO BIC UN MAXI;BAZAR;LIMPEZA DA CASA;DESCARTAVEL LIMPEZA;105.000
28730;SHAMPOO ELSEVE 200ML RT5 EXT PROF;MERCEARIA;PERFUMARIA;CUIDADO COM CABELO;37.000
46386;MOLHO PAGANINI 180G PESTO C/TOMATE SECO;MERCEARIA;SECA SALGADA;MERCEARIA COMPLEMENTAR;24.000
99665;VINHO ORIGEN 750ML CHIL TTO SECO PINOT NOIR;MERCEARIA;LIQUIDA;VINHOS;24.000
106343;ALMONDEGAS BOV MONTANA 500G C/20 CONG;PERECIVEIS;P.A.S.;CONGELADOS;35.000
11486;OLEO CANOLA SALADA 900ML PET;MERCEARIA;SECA COMMODITIES;OLEOS;40.000
73358;CARNE BOV KG ANG CONT FIL C/FIL RESF;PERECIVEIS;ACOUGUE;MANIPULADOS ACOUGUE;7.000
